id,model,Relevance,Coherence,Consistency,Fluency
25,bartpho_lora_beam,3,4,5,2
25,qwen_lora_beam,4,3,5,4
26,bartpho_full_beam,2,3,1,3
26,bartpho_lora_beam,3,4,5,2
26,qwen_lora_beam,1,1,3,1
27,bartpho_full_beam,3,5,5,2
27,bartpho_lora_beam,2,2,5,1
27,qwen_lora_beam,3,2,5,2
28,bartpho_full_beam,3,4,5,2
28,bartpho_lora_beam,3,4,5,2
28,qwen_lora_beam,1,1,5,1
29,bartpho_full_beam,4,4,5,3
29,bartpho_lora_beam,4,5,5,4
29,qwen_lora_beam,3,2,5,2
30,bartpho_full_beam,3,3,2,2
30,bartpho_lora_beam,4,4,3,2
30,qwen_lora_beam,4,4,3,5
31,bartpho_full_beam,3,4,1,2
31,bartpho_lora_beam,1,3,1,4
31,qwen_lora_beam,2,2,1,3
32,bartpho_full_beam,2,3,1,2
32,bartpho_lora_beam,1,3,2,2
32,qwen_lora_beam,2,2,3,2
33,bartpho_full_beam,1,1,1,1
33,bartpho_lora_beam,1,1,2,2
33,qwen_lora_beam,1,1,2,1
34,bartpho_full_beam,2,2,1,2
34,bartpho_lora_beam,2,1,1,1
34,qwen_lora_beam,3,2,5,3
35,bartpho_full_beam,4,3,5,2
35,bartpho_lora_beam,4,5,5,3
35,qwen_lora_beam,1,1,2,1
36,bartpho_full_beam,3,5,5,4
36,bartpho_lora_beam,3,5,5,2
36,qwen_lora_beam,3,2,3,3
37,bartpho_full_beam,2,3,4,2
37,bartpho_lora_beam,2,2,5,2
37,qwen_lora_beam,2,1,3,2
38,bartpho_full_beam,3,4,5,3
38,bartpho_lora_beam,3,4,5,2
38,qwen_lora_beam,2,3,5,5
39,bartpho_full_beam,3,5,5,4
39,bartpho_lora_beam,3,5,5,4
39,qwen_lora_beam,4,3,5,4
40,bartpho_full_beam,3,4,5,4
40,bartpho_lora_beam,3,4,5,4
40,qwen_lora_beam,3,2,5,2
41,bartpho_full_beam,2,5,5,5
41,bartpho_lora_beam,2,4,5,5
41,qwen_lora_beam,3,2,3,2
42,bartpho_full_beam,4,5,5,3
42,bartpho_lora_beam,3,5,5,2
42,qwen_lora_beam,3,3,5,4
43,bartpho_full_beam,4,5,5,4
43,bartpho_lora_beam,4,5,5,4
43,qwen_lora_beam,1,1,1,1
44,bartpho_full_beam,3,3,5,2
44,bartpho_lora_beam,1,1,2,2
44,qwen_lora_beam,4,4,3,4
45,bartpho_full_beam,4,5,3,2
45,bartpho_lora_beam,3,4,2,3
45,qwen_lora_beam,2,1,5,1
46,bartpho_full_beam,2,2,5,2
46,bartpho_lora_beam,2,2,5,1
46,qwen_lora_beam,1,1,1,2
47,bartpho_full_beam,2,3,5,4
47,bartpho_lora_beam,2,3,1,3
47,qwen_lora_beam,2,1,5,2
48,bartpho_full_beam,2,2,5,3
48,bartpho_lora_beam,2,3,5,2
48,qwen_lora_beam,1,1,1,1
49,bartpho_full_beam,2,3,5,2
49,bartpho_lora_beam,3,3,5,2
49,qwen_lora_beam,3,3,5,4
